SN,ITEM,UNIT,INLET,OUTLET
1,Capacity,m3/h,15,
2,pH,-,7,
3,SS,mg/L,20,10
4,Ca2+,mg/L,135,40
5,Mg2+,mg/L,50,50
6,Na+,mg/L,1270,
7,NH4-N,mg/L,19.6,
8,SO42-,mg/L,1222,
9,Cl-,mg/L,1594,
10,HCO3-,mg/L,601.6,
11,CO32-,mg/L,28.9,
